program,filename,k,job_id,State,MaxRSS,Elapsed,MaxDiskWrite,WorkDirSizeKB
dsk_default,chm13_part1.maf,10,37251827,COMPLETED,196364K,00:01:22,5220.35M,815952
dsk_default,chm13_part1.maf,20,37251859,COMPLETED,707312K,00:01:29,3473.23M,1532576
dsk_default,chm13_part1.maf,30,37251900,COMPLETED,499440K,00:01:36,2543.42M,1355680
dsk_default,chm13_part1.maf,55,37252034,COMPLETED,441276K,00:02:18,2193.02M,1347104
dsk_default,chm13_part1_through_10.maf,10,37252100,COMPLETED,1780936K,00:11:29,53809.87M,855056
dsk_default,chm13_part1_through_10.maf,20,37252577,COMPLETED,2914876K,00:07:39,42981.34M,14391360
dsk_default,chm13_part1_through_10.maf,30,37252878,COMPLETED,1305736K,00:07:10,32925.78M,11015968
dsk_default,chm13_part1_through_10.maf,55,37253081,COMPLETED,2991864K,00:08:59,29664.17M,10578656
dsk_finetuned,chm13_part1.maf,10,37249503,COMPLETED,288964K,00:02:42,4010.35M,815952
dsk_finetuned,chm13_part1.maf,20,37249556,COMPLETED,727100K,00:04:34,3744.22M,1532576
dsk_finetuned,chm13_part1.maf,30,37249680,COMPLETED,651040K,00:03:19,2738.60M,1355680
dsk_finetuned,chm13_part1.maf,55,37249894,COMPLETED,446692K,00:04:16,2761.18M,1347104
dsk_finetuned,chm13_part1_through_10.maf,10,37249954,COMPLETED,1786576K,00:27:08,53914.18M,855056
dsk_finetuned,chm13_part1_through_10.maf,20,37251110,COMPLETED,1696036K,00:07:50,41689.58M,14391360
dsk_finetuned,chm13_part1_through_10.maf,30,37251360,COMPLETED,2775256K,00:07:11,32592.96M,11015968
dsk_finetuned,chm13_part1_through_10.maf,55,37251535,COMPLETED,3285480K,00:08:43,28481.84M,10521312
gerbil_default,chm13_part1.maf,10,37267410,COMPLETED,214520K,00:02:51,4316.54M,183608
gerbil_default,chm13_part1.maf,20,37267493,COMPLETED,186784K,00:03:02,8785.71M,10037280
gerbil_default,chm13_part1.maf,30,37267659,COMPLETED,189388K,00:04:07,12937.33M,16068104
gerbil_default,chm13_part1.maf,55,37267745,COMPLETED,203920K,00:04:34,29401.59M,28027208
gerbil_default,chm13_part1_through_10.maf,10,37267803,COMPLETED,1063672K,00:06:48,51028.35M,283880
gerbil_default,chm13_part1_through_10.maf,20,37268221,COMPLETED,911888K,00:07:18,135450.82M,122144120
gerbil_default,chm13_part1_through_10.maf,30,37268534,COMPLETED,866872K,00:08:53,216838.19M,197650112
gerbil_default,chm13_part1_through_10.maf,55,37268840,COMPLETED,818572K,00:09:15,341677.08M,348484912
gerbil_finetuned,chm13_part1.maf,10,37269755,COMPLETED,196152K,00:01:49,2989.29M,183608
gerbil_finetuned,chm13_part1.maf,20,37269846,COMPLETED,170988K,00:01:48,8273.24M,10037280
gerbil_finetuned,chm13_part1.maf,30,37270037,COMPLETED,168556K,00:01:57,16811.44M,16068104
gerbil_finetuned,chm13_part1.maf,55,37270084,COMPLETED,170584K,00:02:04,25807.76M,28027208
gerbil_finetuned,chm13_part1_through_10.maf,10,37270250,COMPLETED,948404K,00:10:25,47868.51M,283880
gerbil_finetuned,chm13_part1_through_10.maf,20,37270815,COMPLETED,780080K,00:07:15,146012.59M,122144120
gerbil_finetuned,chm13_part1_through_10.maf,30,37271097,COMPLETED,739852K,00:08:51,209215.39M,197650112
gerbil_finetuned,chm13_part1_through_10.maf,55,37271480,COMPLETED,721808K,00:09:06,349903.95M,348484912
jellyfish_default,chm13_part1.maf,10,37302181,COMPLETED,3108K,00:02:08,492.98M,614208
jellyfish_default,chm13_part1.maf,20,37302463,COMPLETED,3358872K,00:24:07,14890.37M,15478152
jellyfish_default,chm13_part1.maf,30,37306257,COMPLETED,6059944K,00:23:16,20915.36M,21903656
jellyfish_default,chm13_part1.maf,55,37309999,COMPLETED,12768816K,00:26:13,32683.99M,34072360
jellyfish_default,chm13_part1_through_10.maf,10,37313806,COMPLETED,3868K,00:17:31,615.18M,644416
jellyfish_default,chm13_part1_through_10.maf,20,37316556,COMPLETED,3359120K,02:20:31,183646.73M,188528440
jellyfish_default,chm13_part1_through_10.maf,30,37334026,COMPLETED,6062176K,02:37:53,262475.93M,269009784
jellyfish_default,chm13_part1_through_10.maf,55,37351892,COMPLETED,12769144K,03:07:25,413018.06M,423375360
jellyfish_finetuned,chm13_part1.maf,10,37288232,COMPLETED,3428K,00:01:08,398.29M,614216
jellyfish_finetuned,chm13_part1.maf,20,37288365,COMPLETED,12290908K,00:05:41,14271.94M,15478152
jellyfish_finetuned,chm13_part1.maf,30,37289239,COMPLETED,23083608K,00:07:11,20304.74M,21903656
jellyfish_finetuned,chm13_part1.maf,55,37290316,COMPLETED,50346748K,00:11:34,32206.97M,34072360
jellyfish_finetuned,chm13_part1_through_10.maf,10,37291857,COMPLETED,5808K,00:06:02,538.28M,644416
jellyfish_finetuned,chm13_part1_through_10.maf,20,37292413,COMPLETED,12292084K,00:13:02,180029.34M,188528448
jellyfish_finetuned,chm13_part1_through_10.maf,30,37294053,COMPLETED,23085048K,00:15:07,256885.74M,269009784
jellyfish_finetuned,chm13_part1_through_10.maf,55,37296066,COMPLETED,50349148K,00:24:07,404300.80M,423375368
kcoss_default,chm13_part1.maf,10,37254467,COMPLETED,5640K,00:00:26,575.64M,368701
kcoss_default,chm13_part1.maf,20,37254468,COMPLETED,15914456K,00:05:39,663.63M,1509669
kcoss_default,chm13_part1.maf,30,37254708,COMPLETED,14377380K,00:05:07,705.92M,1388965
kcoss_default,chm13_part1.maf,55,37254840,COMPLETED,20120328K,00:11:32,856.19M,1413101
kcoss_default,chm13_part1_through_10.maf,10,37255243,COMPLETED,3573K,00:02:46,741.118M,368717
kcoss_default,chm13_part1_through_10.maf,20,37255250,COMPLETED,15928364K,00:12:15,8528.87M,18216853
kcoss_default,chm13_part1_through_10.maf,30,37255717,COMPLETED,15925524K,00:11:00,9174.89M,16096821
kcoss_default,chm13_part1_through_10.maf,55,37256005,COMPLETED,20127696K,00:16:12,10719.21M,17246029
kcoss_finetuned,chm13_part1.maf,10,37257042,COMPLETED,0,00:00:25,559.23M,368749
kcoss_finetuned,chm13_part1.maf,20,37257045,COMPLETED,26521068K,00:08:11,680.04M,1510629
kcoss_finetuned,chm13_part1.maf,30,37257375,COMPLETED,26429608K,00:08:14,715.64M,1391189
kcoss_finetuned,chm13_part1.maf,55,37257862,COMPLETED,31260248K,00:13:06,867.19M,1414437
kcoss_finetuned,chm13_part1_through_10.maf,10,37258854,COMPLETED,0,00:02:45,7845.22M,368749
kcoss_finetuned,chm13_part1_through_10.maf,20,37258862,COMPLETED,26999.50M,00:15:01,8930.41M,18216581
kcoss_finetuned,chm13_part1_through_10.maf,30,37259375,COMPLETED,27647504K,00:14:13,9073.17M,16095933
kcoss_finetuned,chm13_part1_through_10.maf,55,37259946,COMPLETED,31848488K,00:22:15,10717.75M,17241493
kmc_default,chm13_part1.maf,10,37262083,COMPLETED,103202K,00:00:41,9195.67M,442568
kmc_default,chm13_part1.maf,20,37262086,COMPLETED,153488K,00:01:12,9212.42M,13943352
kmc_default,chm13_part1.maf,30,37262230,COMPLETED,226492K,00:01:07,13269.03M,20176944
kmc_default,chm13_part1.maf,55,37262238,COMPLETED,115756K,00:01:07,20633.35M,32295240
kmc_default,chm13_part1_through_10.maf,10,37257101,COMPLETED,860452K,00:05:05,407.01M,464432
kmc_default,chm13_part1_through_10.maf,20,37257238,COMPLETED,1411808K,00:21:09,189214.16M,167765840
kmc_default,chm13_part1_through_10.maf,30,37258683,COMPLETED,2335104K,00:29:02,261630.04M,246690864
kmc_default,chm13_part1_through_10.maf,55,37259727,COMPLETED,2356084K,00:36:12,406029.32M,399970280
kmc_finetuned,chm13_part1.maf,10,37262615,COMPLETED,264364K,00:01:08,282.61M,442568
kmc_finetuned,chm13_part1.maf,20,37262635,COMPLETED,178704K,00:02:09,11048.06M,13943352
kmc_finetuned,chm13_part1.maf,30,37262682,COMPLETED,244596K,00:02:30,18178.14M,20176944
kmc_finetuned,chm13_part1.maf,55,37262836,COMPLETED,126884K,00:01:05,20338.44M,32295240
kmc_finetuned,chm13_part1_through_10.maf,10,37262852,COMPLETED,696480K,00:03:11,256.27M,464464
kmc_finetuned,chm13_part1_through_10.maf,20,37262894,COMPLETED,1708944K,00:05:13,142004.52M,167765840
kmc_finetuned,chm13_part1_through_10.maf,30,37263108,COMPLETED,699384K,00:05:22,238237.28M,246690864
kmc_finetuned,chm13_part1_through_10.maf,55,37263267,COMPLETED,2527420K,00:05:55,381949.62M,399970280
meryl_default,chm13_part1.maf,10,37263988,COMPLETED,275576K,00:02:49,241.31M,411848
